dataset	prompt_1	prompt_2	prompt_3	prompt_4	prompt_5	prompt_6	prompt_7	prompt_8
altlex	Find an sentence from Simple Wikipedia that corresponds to the following Wikipedia sentence	Retrieve a sentence that talks about the same as the following in a simple or shorter English	A simplified sentence from Simple Wikipedia of this Wikipedia sentence	You need to find a simplified sentence from Simple Wikipedia corresponding to the following sentence				
cnn_dailymail	The following sentences are the summaries of an news article. Find the source news article.	Retrieve a news article that is summarized as following	Find the original news article based on which the following highlights are written					
coco_captions	Retrieve a image caption sentence that is written for the same image as the following caption	Find a image caption describing the same image as	Can you find an image caption talking about the same image as					
codesearch_go	Match the following natural language instruction to Go codes	Retrieve Go implementations achieving the following features 	Find a Go code implementation on GitHub for the following natural language instruction	I want to find a Go code implementing the following function from Github. 				
codesearch_java	Match the following natural language instruction to Java codes	Retrieve Java implementations achieving the following features 	Find a Java code implementation on GitHub for the following natural language instruction	I want to find Java code implementing the following function from Github. 				
codesearch_javascript	Match the following natural language instruction to JavaScript codes	Retrieve JavaScript implementations achieving the following features 	Find a JavaScript code implementation on GitHub for the following natural language instruction	I want to find JavaScript code implementing the following function from Github. 				
codesearch_ruby	Match the following natural language instruction to Ruby codes	Retrieve Ruby implementations achieving the following features 	Find a Ruby code implementation on GitHub for the following natural language instruction	I want to find Ruby code implementing the following function from Github. 				
eli5_question_answer	Find an answer to this question for me.	Retrieve an paragraph-length answer to this question.	You have to find answer to this question.					
fever	Retrieve a Wikipedia paragraph to verify this claim	Find an evidence paragraph from Wikipedia to confirm the statement is correct	I want to know if this sentence is a fact or not. Can you find relented Wikipedia passages for me?	You need to find Wikipedia paragraphs that support or refute this sentence				
gigaword	Retrieve a extremely short summary of the following Gigaword article	Find a corresponding headline of the this Gigaword article summary.	I want to retrieve a headline of this gigaword news					
hotpotqa	Retrieve a Wikipedia paragraph that provides useful evidence or answer for this question	I want to know the answer of this question. Please find related Wikipedia passages for me.	Find a paragraph that provides useful information to answer this question	You need to find multiple Wikipedia passages to answer this multi-hop question. Can you find related passages?				
yahoo_answers_title_answer	Find an answer from a community QA forum for the following question	Retrieve the most voted answer for this question from Yahoo Answers.	This is an question's title posted in Yahoo Answers, a community forum. Please retrieve the answer post.					
